1673413177.6057992, 10, 10, 10
1673413223.7255242, 10, 10
1673440114.0436065, 10, 10
1673440457.97911, 29.1, 51.5
1673440462.977652, 29.1, 51.5
1673440467.6002438, 29.1, 51.5
1673441065.565629, 29.1, 51.5
1673441115.0192997, 29.1, 53.2
1673441118.1087873, 29, 51.7
1673441122.1738744, 29, 51.7
1673441125.5662942, 29, 52
1673441128.9129984, 29, 52
1673441132.4684684, 29, 51.8
1673441135.5695932, 29, 51.7
1673441141.3818066, 29, 51.6
1673441145.2112272, 29, 51.5
1673441148.3015695, 29, 51.5
1673441151.4431703, 29, 51.6
1673441155.0585582, 29, 51.6
1673441158.1521928, 29, 52.4
1673441161.2510571, 29, 52.3
1673441164.5664973, 29.1, 51.9
1673441171.7620137, 29.1, 51.5
1673441174.8375537, 29.1, 51.5
1673441178.2285354, 29, 51.5
1673441181.5193708, 29, 51.5
1673441184.6012683, 29, 51.5
1673441187.9308462, 29, 51.5
1673441191.5508401, 29, 51.5
1673441195.277883, 29, 52.2
1673441198.3677492, 29, 52.5
1673441201.4507396, 29, 52.3
1673441205.501014, 29, 52
1673441208.8924112, 29, 51.8
1673441213.070671, 29, 51.8
1673441216.979614, 29, 51.7
1673441220.1919713, 29, 51.7
1673441223.5247388, 29, 51.7
1673441227.4831781, 29, 52.3
1673441231.941752, 29, 51.9
1673441235.401265, 29, 51.8
1673441239.0415325, 29, 51.7
1673441243.170568, 29, 51.7
1673441246.2651148, 29, 51.6
1673441249.4549854, 29, 51.7
1673441253.1505234, 29, 51.7
1673441256.981708, 29, 51.6
1673441260.357536, 29, 51.6
1673441263.503073, 29, 51.6
1673441266.5861437, 29.1, 51.5
1673441269.6692984, 29, 51.5
1673441274.0829885, 29, 51.5
1673441277.1626847, 29, 51.5
1673441281.2578635, 29, 51.5
1673441284.476872, 29, 51.4
1673441288.044067, 29, 51.4
1673441291.7905397, 29, 51.4
1673441295.4871936, 29, 51.5
1673441299.8509421, 29, 51.5
1673441303.774645, 29, 51.5
1673441307.1218631, 29, 51.4
1673441310.6362848, 29, 51.5
1673441314.5850465, 29, 51.5
1673441318.025185, 29, 51.6
1673441321.497262, 29, 51.6
1673441328.121631, 29.1, 51.7
1673441331.9532378, 29, 51.7
1673441335.273237, 29, 51.8
1673441338.3813741, 29, 51.9
1673441341.514605, 29.1, 52.1
